id,n_items,total_weight,n_even,n_odd,even_ratio,pattern_eoe,pattern_oeo,pattern_eee,pattern_ooo,opt_bins,waste_pct,solve_time_ms
65,13,562,5,8,0.38461538461538464,1,1,1,1,6,6.333333333333334,0.010967254638671875
66,15,683,12,3,0.8,1,0,1,0,8,14.625,0.019073486328125
67,13,572,5,8,0.38461538461538464,0,0,1,1,6,4.666666666666667,0.012159347534179688
68,10,444,4,6,0.4,1,1,0,0,5,11.200000000000001,0.010967254638671875
69,11,429,4,7,0.36363636363636365,0,0,0,1,5,14.2,0.009775161743164062
70,13,427,6,7,0.46153846153846156,1,1,1,0,5,14.6,0.010013580322265625
71,13,523,6,7,0.46153846153846156,1,1,1,1,6,12.833333333333332,0.015020370483398438
72,12,460,6,6,0.5,0,1,1,1,6,23.333333333333332,0.01621246337890625
73,10,359,5,5,0.5,1,1,0,1,4,10.25,0.007867813110351562
74,13,558,7,6,0.5384615384615384,1,0,1,1,7,20.285714285714285,0.015974044799804688
75,12,533,5,7,0.4166666666666667,1,1,0,1,6,11.166666666666666,0.010967254638671875
76,11,475,6,5,0.5454545454545454,0,0,1,1,6,20.833333333333336,0.013113021850585938
77,15,609,10,5,0.6666666666666666,1,1,1,0,7,13.0,0.014781951904296875
78,12,518,6,6,0.5,1,1,0,1,6,13.666666666666666,0.012159347534179688
79,15,651,4,11,0.26666666666666666,1,1,0,1,7,7.000000000000001,0.014066696166992188
80,15,639,6,9,0.4,1,1,0,1,7,8.714285714285715,0.015020370483398438
81,14,498,6,8,0.42857142857142855,1,1,0,1,6,17.0,0.012874603271484375
82,12,491,7,5,0.5833333333333334,1,1,1,1,6,18.166666666666668,0.009059906005859375
83,15,598,7,8,0.4666666666666667,1,1,1,1,7,14.571428571428571,0.014066696166992188
84,11,435,4,7,0.36363636363636365,0,1,0,1,5,13.0,0.007867813110351562
85,13,459,6,7,0.46153846153846156,0,1,1,1,5,8.200000000000001,0.010967254638671875
86,12,490,6,6,0.5,0,1,1,0,5,2.0,0.010967254638671875
87,15,525,8,7,0.5333333333333333,1,1,1,1,6,12.5,0.012874603271484375
88,14,515,9,5,0.6428571428571429,1,1,1,0,6,14.166666666666666,0.011920928955078125
89,10,353,7,3,0.7,1,0,1,0,4,11.75,0.009059906005859375
90,13,444,5,8,0.38461538461538464,0,0,0,1,5,11.200000000000001,0.010967254638671875
91,14,583,7,7,0.5,1,1,0,0,6,2.833333333333333,0.013113021850585938
92,14,599,5,9,0.35714285714285715,1,1,1,1,7,14.428571428571429,0.012159347534179688
93,10,362,6,4,0.6,0,1,1,1,4,9.5,0.009775161743164062
94,11,345,10,1,0.9090909090909091,1,0,1,0,4,13.750000000000002,0.009059906005859375
95,11,455,6,5,0.5454545454545454,0,1,1,1,5,9.0,0.011920928955078125
96,15,619,6,9,0.4,1,1,0,1,7,11.571428571428571,0.0152587890625
