id,n_items,total_weight,opt_bins,waste_abs,waste_pct,n_items_is_prime,total_weight_is_prime,total_weight_is_pow2,prime_elem_count,pow2_elem_count
444,10,485,7,215,30.714285714285715,0,0,0,2,1
445,19,833,10,167,16.7,1,0,0,6,0
446,15,535,6,65,10.833333333333334,0,0,0,3,2
447,12,495,6,105,17.5,0,0,0,4,1
448,13,514,6,86,14.333333333333334,1,0,0,3,0
449,12,462,5,38,7.6,0,0,0,5,1
450,14,601,7,99,14.142857142857142,0,1,0,4,4
451,14,588,7,112,16.0,0,0,0,3,0
452,19,774,8,26,3.25,1,0,0,5,0
453,19,872,9,28,3.111111111111111,1,0,0,6,2
454,15,612,7,88,12.571428571428573,0,0,0,5,0
455,19,818,9,82,9.11111111111111,1,0,0,6,0
456,18,757,8,43,5.375,0,1,0,4,1
457,13,539,6,61,10.166666666666666,1,0,0,4,1
458,16,564,6,36,6.0,0,0,0,6,1
459,12,536,7,164,23.42857142857143,0,0,0,1,1
460,15,567,6,33,5.5,0,0,0,8,1
461,11,438,5,62,12.4,1,0,0,3,0
462,15,508,6,92,15.333333333333332,0,0,0,8,0
463,16,572,6,28,4.666666666666667,0,0,0,2,0
464,19,714,8,86,10.75,1,0,0,7,0
465,18,681,7,19,2.7142857142857144,0,0,0,3,2
466,10,438,5,62,12.4,0,0,0,4,1
467,10,418,5,82,16.400000000000002,0,0,0,3,0
468,19,706,8,94,11.75,1,0,0,7,1
469,14,591,7,109,15.571428571428573,0,0,0,6,1
470,19,706,8,94,11.75,1,0,0,0,2
471,18,619,7,81,11.571428571428571,0,1,0,8,0
472,17,656,7,44,6.2857142857142865,1,0,0,4,0
473,13,557,6,43,7.166666666666667,1,1,0,1,0
474,12,460,5,40,8.0,0,0,0,0,0
475,19,718,8,82,10.25,1,0,0,4,1
476,11,473,5,27,5.4,1,0,0,2,0
477,14,595,7,105,15.0,0,0,0,4,0
478,17,768,10,232,23.200000000000003,1,0,0,3,1
479,10,358,4,42,10.5,0,0,0,0,1
480,18,795,10,205,20.5,0,0,0,0,1
481,18,836,9,64,7.111111111111111,0,0,0,6,1
482,19,674,7,26,3.7142857142857144,1,0,0,8,0
483,11,391,5,109,21.8,1,0,0,2,0
484,16,536,6,64,10.666666666666668,0,0,0,6,1
485,17,645,7,55,7.857142857142857,1,0,0,6,0
486,13,610,8,190,23.75,1,0,0,2,0
487,19,718,8,82,10.25,1,0,0,4,0
488,17,700,8,100,12.5,1,0,0,6,0
489,11,419,5,81,16.2,1,1,0,5,1
490,14,645,8,155,19.375,0,0,0,5,1
491,10,337,4,63,15.75,0,1,0,2,1
492,17,546,6,54,9.0,1,0,0,3,2
493,13,572,8,228,28.499999999999996,1,0,0,4,1
494,13,601,7,99,14.142857142857142,1,1,0,1,1
495,19,786,8,14,1.7500000000000002,1,0,0,5,0
496,13,563,6,37,6.166666666666667,1,1,0,3,0
497,13,481,5,19,3.8,1,0,0,5,0
498,14,441,5,59,11.799999999999999,0,0,0,4,0
499,16,658,8,142,17.75,0,0,0,5,0
500,14,576,6,24,4.0,0,0,0,4,0
501,16,621,7,79,11.285714285714285,0,0,0,5,0
502,15,560,6,40,6.666666666666667,0,0,0,0,1
503,13,478,5,22,4.3999999999999995,1,0,0,4,1
504,10,449,6,151,25.166666666666664,0,1,0,3,1
505,19,737,8,63,7.875,1,0,0,5,0
506,14,570,6,30,5.0,0,0,0,4,0
507,19,747,8,53,6.625,1,0,0,2,0
508,19,713,8,87,10.875,1,0,0,5,0
509,10,348,4,52,13.0,0,0,0,5,0
510,11,387,4,13,3.25,1,0,0,2,2
511,14,587,7,113,16.142857142857142,0,1,0,4,0
512,10,347,4,53,13.25,0,1,0,4,1
513,19,736,8,64,8.0,1,0,0,7,1
514,14,462,5,38,7.6,0,0,0,5,2
515,14,491,6,109,18.166666666666668,0,1,0,5,0
516,13,551,6,49,8.166666666666666,1,0,0,5,1
517,18,835,10,165,16.5,0,0,0,5,3
518,19,912,11,188,17.09090909090909,1,0,0,7,0
519,19,857,10,143,14.299999999999999,1,1,0,5,2
520,10,326,4,74,18.5,0,0,0,3,0
521,16,613,7,87,12.428571428571429,0,1,0,4,0
522,11,419,5,81,16.2,1,1,0,3,0
523,10,306,4,94,23.5,0,0,0,4,0
524,11,482,6,118,19.666666666666664,1,0,0,0,0
525,12,511,6,89,14.833333333333334,0,0,0,1,0
526,10,413,5,87,17.4,0,0,0,4,0
527,18,559,6,41,6.833333333333333,0,0,0,6,2
528,18,674,7,26,3.7142857142857144,0,0,0,6,1
529,19,673,7,27,3.8571428571428568,1,1,0,8,0
530,15,590,7,110,15.714285714285714,0,0,0,6,0
531,14,668,7,32,4.571428571428571,0,0,0,3,0
532,18,704,8,96,12.0,0,0,0,3,1
533,11,508,6,92,15.333333333333332,1,0,0,1,1
534,14,626,7,74,10.571428571428571,0,0,0,3,0
535,19,874,10,126,12.6,1,0,0,1,0
536,15,591,6,9,1.5,0,0,0,3,1
537,14,631,7,69,9.857142857142858,0,1,0,4,0
538,16,694,8,106,13.25,0,0,0,4,0
539,14,561,6,39,6.5,0,0,0,3,0
540,12,397,4,3,0.75,0,1,0,5,0
541,16,735,8,65,8.125,0,0,0,7,0
542,14,523,6,77,12.833333333333332,0,1,0,1,2
543,18,718,8,82,10.25,0,0,0,5,3
544,15,552,6,48,8.0,0,0,0,1,4
545,14,543,7,157,22.428571428571427,0,0,0,4,1
546,16,557,6,43,7.166666666666667,0,1,0,1,1
547,18,649,7,51,7.285714285714286,0,0,0,5,0
548,16,696,8,104,13.0,0,0,0,1,1
549,11,475,5,25,5.0,1,0,0,1,0
550,18,669,7,31,4.428571428571428,0,0,0,5,2
551,15,514,6,86,14.333333333333334,0,0,0,6,2
552,18,701,8,99,12.375,0,1,0,2,1
553,10,390,5,110,22.0,0,0,0,2,0
554,10,282,3,18,6.0,0,0,0,4,0
555,19,785,9,115,12.777777777777777,1,0,0,5,2
556,12,480,5,20,4.0,0,0,0,4,1
557,12,525,6,75,12.5,0,0,0,2,1
558,19,665,7,35,5.0,1,0,0,4,1
559,12,479,5,21,4.2,0,1,0,3,1
560,19,648,7,52,7.428571428571429,1,0,0,8,1
561,17,774,9,126,14.000000000000002,1,0,0,3,0
562,14,405,5,95,19.0,0,0,0,6,0
563,15,565,6,35,5.833333333333333,0,0,0,3,1
564,15,541,6,59,9.833333333333332,0,1,0,4,1
565,18,686,7,14,2.0,0,0,0,4,1
566,16,614,7,86,12.285714285714286,0,0,0,4,0
567,13,533,6,67,11.166666666666666,1,0,0,1,1
568,13,441,5,59,11.799999999999999,1,0,0,3,0
569,14,649,7,51,7.285714285714286,0,0,0,2,0
570,14,583,7,117,16.714285714285715,0,0,0,4,0
571,10,326,4,74,18.5,0,0,0,1,1
572,14,518,6,82,13.666666666666666,0,0,0,2,0
573,12,533,6,67,11.166666666666666,0,0,0,3,0
574,15,667,7,33,4.714285714285714,0,0,0,3,1
575,12,485,5,15,3.0,0,0,0,3,1
576,10,491,7,209,29.85714285714286,0,1,0,3,0
577,10,397,5,103,20.599999999999998,0,1,0,2,1
578,19,586,6,14,2.3333333333333335,1,0,0,4,0
579,17,730,8,70,8.75,1,0,0,1,3
580,15,560,6,40,6.666666666666667,0,0,0,4,0
581,10,372,4,28,7.000000000000001,0,0,0,5,0
582,13,506,6,94,15.666666666666668,1,0,0,3,0
583,16,572,6,28,4.666666666666667,0,0,0,4,0
584,15,582,6,18,3.0,0,0,0,3,0
585,19,738,8,62,7.75,1,0,0,5,2
586,10,365,4,35,8.75,0,0,0,0,1
587,13,445,5,55,11.0,1,0,0,1,2
588,14,698,10,302,30.2,0,0,0,2,1
589,10,389,4,11,2.75,0,1,0,2,0
590,15,652,8,148,18.5,0,0,0,6,0
591,19,744,8,56,7.000000000000001,1,0,0,4,0
592,15,587,6,13,2.166666666666667,0,1,0,4,2
593,12,395,4,5,1.25,0,0,0,3,0
594,15,603,7,97,13.857142857142858,0,0,0,4,0
595,13,479,5,21,4.2,1,1,0,1,0
596,12,412,5,88,17.599999999999998,0,0,0,2,0
597,16,618,7,82,11.714285714285715,0,0,0,3,0
598,15,592,6,8,1.3333333333333335,0,0,0,3,0
599,11,524,6,76,12.666666666666668,1,0,0,1,1
600,17,553,6,47,7.833333333333334,1,0,0,4,2
601,11,372,4,28,7.000000000000001,1,0,0,4,1
602,11,417,5,83,16.6,1,0,0,3,0
603,10,354,4,46,11.5,0,0,0,3,1
604,17,660,7,40,5.714285714285714,1,0,0,5,0
605,12,584,8,216,27.0,0,0,0,4,0
606,13,547,6,53,8.833333333333334,1,1,0,2,0
607,10,441,5,59,11.799999999999999,0,0,0,4,0
608,16,669,7,31,4.428571428571428,0,0,0,6,0
609,15,653,7,47,6.714285714285714,0,1,0,4,1
610,15,591,6,9,1.5,0,0,0,2,2
611,11,524,6,76,12.666666666666668,1,0,0,1,1
612,15,646,7,54,7.7142857142857135,0,0,0,3,0
613,18,724,8,76,9.5,0,0,0,5,0
614,16,697,8,103,12.875,0,0,0,4,1
615,18,656,7,44,6.2857142857142865,0,0,0,6,1
616,11,445,5,55,11.0,1,0,0,2,1
617,19,945,11,155,14.09090909090909,1,0,0,6,1
618,18,701,8,99,12.375,0,1,0,3,0
619,14,492,5,8,1.6,0,0,0,3,0
620,11,320,4,80,20.0,1,0,0,4,0
621,19,852,12,348,28.999999999999996,1,0,0,2,1
622,12,529,6,71,11.833333333333334,0,0,0,2,0
623,16,683,8,117,14.625,0,1,0,0,0
624,10,429,5,71,14.2,0,0,0,3,1
625,14,486,5,14,2.8000000000000003,0,0,0,5,2
626,18,667,7,33,4.714285714285714,0,0,0,5,1
627,12,575,8,225,28.125,0,0,0,2,0
628,12,420,5,80,16.0,0,0,0,2,1
629,13,502,6,98,16.333333333333332,1,0,0,6,0
630,15,732,9,168,18.666666666666668,0,0,0,3,1
631,14,479,5,21,4.2,0,1,0,4,1
632,15,533,6,67,11.166666666666666,0,0,0,5,0
633,16,588,6,12,2.0,0,0,0,7,1
634,15,553,6,47,7.833333333333334,0,0,0,5,3
635,16,544,6,56,9.333333333333334,0,0,0,4,2
636,18,849,9,51,5.666666666666666,0,0,0,4,1
637,12,527,6,73,12.166666666666668,0,0,0,2,0
638,16,737,8,63,7.875,0,0,0,2,1
639,10,376,4,24,6.0,0,0,0,5,0
640,17,609,7,91,13.0,1,0,0,4,1
641,17,767,8,33,4.125,1,0,0,7,1
642,19,941,11,159,14.454545454545453,1,1,0,3,2
643,12,446,5,54,10.8,0,0,0,2,0
644,16,663,7,37,5.285714285714286,0,0,0,3,1
645,17,720,8,80,10.0,1,0,0,4,1
646,13,672,9,228,25.333333333333336,1,0,0,5,0
647,12,529,6,71,11.833333333333334,0,0,0,7,0
648,19,752,8,48,6.0,1,0,0,3,1
649,18,685,8,115,14.374999999999998,0,0,0,4,2
650,10,412,5,88,17.599999999999998,0,0,0,4,0
651,12,498,6,102,17.0,0,0,0,4,1
652,19,806,9,94,10.444444444444445,1,0,0,5,2
653,14,651,8,149,18.625,0,0,0,4,1
654,19,657,7,43,6.142857142857143,1,0,0,5,0
655,13,618,7,82,11.714285714285715,1,0,0,3,1
656,17,677,7,23,3.2857142857142856,1,1,0,7,1
657,18,722,8,78,9.75,0,0,0,6,1
658,12,598,8,202,25.25,0,0,0,1,0
659,17,621,7,79,11.285714285714285,1,0,0,6,0
660,12,514,6,86,14.333333333333334,0,0,0,4,1
661,14,527,6,73,12.166666666666668,0,0,0,3,1
662,18,703,8,97,12.125,0,0,0,7,2
663,14,566,6,34,5.666666666666666,0,0,0,4,0
664,10,386,4,14,3.5000000000000004,0,0,0,2,1
665,15,584,6,16,2.666666666666667,0,0,0,5,2
666,16,534,6,66,11.0,0,0,0,4,0
667,17,582,6,18,3.0,1,0,0,5,2
668,18,703,8,97,12.125,0,0,0,5,0
669,16,553,6,47,7.833333333333334,0,0,0,5,2
670,10,465,6,135,22.5,0,0,0,4,1
671,18,717,8,83,10.375,0,0,0,0,1
672,18,641,7,59,8.428571428571429,0,1,0,7,0
673,16,573,6,27,4.5,0,0,0,8,0
674,14,529,6,71,11.833333333333334,0,0,0,5,0
675,10,442,5,58,11.600000000000001,0,0,0,2,0
676,16,769,8,31,3.875,0,1,0,6,0
677,12,543,8,257,32.125,0,0,0,4,1
678,12,446,5,54,10.8,0,0,0,4,0
679,12,491,5,9,1.7999999999999998,0,1,0,3,0
680,13,505,6,95,15.833333333333332,1,0,0,6,1
681,19,768,8,32,4.0,1,0,0,6,0
682,11,426,5,74,14.799999999999999,1,0,0,3,0
683,15,488,5,12,2.4,0,0,0,6,0
684,19,782,9,118,13.111111111111112,1,0,0,4,2
685,14,607,7,93,13.285714285714286,0,1,0,3,0
686,16,721,8,79,9.875,0,0,0,3,0
687,18,714,8,86,10.75,0,0,0,5,1
688,19,624,7,76,10.857142857142858,1,0,0,7,1
